
 START: 1/5 

Iteration 125 completed | Delta llk: 0.033793 | Time: 0.48 sec
Iteration 126 completed | Delta llk: 0.033642 | Time: 0.48 sec
Iteration 127 completed | Delta llk: 0.033490 | Time: 0.48 sec
Iteration 128 completed | Delta llk: 0.033352 | Time: 0.49 sec
Iteration 129 completed | Delta llk: 0.033221 | Time: 0.49 sec
Iteration 130 completed | Delta llk: 0.033098 | Time: 0.52 sec
Iteration 131 completed | Delta llk: 0.032981 | Time: 0.48 sec
Iteration 132 completed | Delta llk: 0.032866 | Time: 0.49 sec
Iteration 133 completed | Delta llk: 0.032746 | Time: 0.50 sec
Iteration 134 completed | Delta llk: 0.032631 | Time: 0.49 sec
Iteration 135 completed | Delta llk: 0.032539 | Time: 0.49 sec
Iteration 136 completed | Delta llk: 0.032432 | Time: 0.53 sec
Iteration 137 completed | Delta llk: 0.032328 | Time: 0.54 sec
Iteration 138 completed | Delta llk: 0.032235 | Time: 0.57 sec
Iteration 139 completed | Delta llk: 0.032151 | Time: 0.53 sec
Iteration 140 completed | Delta llk: 0.032058 | Time: 0.61 sec
Iteration 141 completed | Delta llk: 0.031963 | Time: 0.53 sec
Iteration 142 completed | Delta llk: 0.031886 | Time: 0.52 sec
Iteration 143 completed | Delta llk: 0.031796 | Time: 0.63 sec
Iteration 144 completed | Delta llk: 0.031703 | Time: 0.58 sec
Iteration 145 completed | Delta llk: 0.031611 | Time: 0.51 sec
Iteration 146 completed | Delta llk: 0.031526 | Time: 0.61 sec
Iteration 147 completed | Delta llk: 0.031438 | Time: 0.57 sec
Iteration 148 completed | Delta llk: 0.031349 | Time: 0.53 sec
Iteration 149 completed | Delta llk: 0.031273 | Time: 0.47 sec
Iteration 150 completed | Delta llk: 0.031180 | Time: 0.44 sec
Iteration 151 completed | Delta llk: 0.031085 | Time: 0.44 sec
Iteration 152 completed | Delta llk: 0.030988 | Time: 0.45 sec
Iteration 153 completed | Delta llk: 0.030892 | Time: 0.44 sec
Iteration 154 completed | Delta llk: 0.030786 | Time: 0.43 sec
Iteration 155 completed | Delta llk: 0.030651 | Time: 0.40 sec
Iteration 156 completed | Delta llk: 0.030560 | Time: 0.40 sec
Iteration 157 completed | Delta llk: 0.030461 | Time: 0.46 sec
Iteration 158 completed | Delta llk: 0.030358 | Time: 0.43 sec
Iteration 159 completed | Delta llk: 0.030254 | Time: 0.41 sec
Iteration 160 completed | Delta llk: 0.030148 | Time: 0.42 sec
Iteration 161 completed | Delta llk: 0.030039 | Time: 0.42 sec
Iteration 162 completed | Delta llk: 0.029928 | Time: 0.41 sec
